"Код специализации","Наименование специальности"                                                                          ,"Специализация"                                                                                                                               ,"Квалификация"                                               ,"Срок"
"01.06.01_07"      ,"Математика и механика"                                                                               ,"Динамика, прочность машин, приборов и аппаратуры"                                                                                            ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"01.06.01_08"      ,"Математика и механика"                                                                               ,"Динамика, прочность машин, приборов и аппаратуры"                                                                                            ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"01.06.01_09"      ,"Математика и механика"                                                                               ,"Динамика, прочность машин, приборов и аппаратуры"                                                                                            ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"01.06.01_10"      ,"Математика и механика"                                                                               ,"Биомеханика"                                                                                                                                 ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"01.06.01_11"      ,"Математика и механика"                                                                               ,"Аэродинамика и процессы теплообмена летательных аппаратов"                                                                                   ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"01.06.01_12"      ,"Математика и механика"                                                                               ,"Аэродинамика и процессы теплообмена летательных аппаратов"                                                                                   ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"01.06.01_13"      ,"Математика и механика"                                                                               ,"Прочность и тепловые режимы летательных аппаратов"                                                                                           ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"01.06.01_14"      ,"Математика и механика"                                                                               ,"Прочность и тепловые режимы летательных аппаратов"                                                                                           ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"01.06.01_15"      ,"Математика и механика"                                                                               ,"Прочность и тепловые режимы летательных аппаратов"                                                                                           ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"01.06.01_16"      ,"Математика и механика"                                                                               ,"Динамика, баллистика, управление движением летательных аппаратов"                                                                            ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"01.06.01_17"      ,"Математика и механика"                                                                               ,"Дискретная математика и математическая кибернетика"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"01.06.01_51"      ,"Математика и механика"                                                                               ,"Дифференциальные уравнения, динамические системы и оптимальное управление"                                                                   ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"01.06.01_52"      ,"Математика и механика"                                                                               ,"Теория вероятностей и математическая статистика"                                                                                             ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"01.06.01_53"      ,"Математика и механика"                                                                               ,"Дискретная математика и математическая кибернетика"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"01.06.01_54"      ,"Математика и механика"                                                                               ,"Теоретическая механика"                                                                                                                      ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"01.06.01_55"      ,"Математика и механика"                                                                               ,"Механика деформируемого твердого тела"                                                                                                       ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"01.06.01_56"      ,"Математика и механика"                                                                               ,"Механика жидкости, газа и плазмы"                                                                                                            ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"01.06.01_57"      ,"Математика и механика"                                                                               ,"Динамика, прочность машин, приборов и аппаратуры"                                                                                            ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"01.06.01_58"      ,"Математика и механика"                                                                               ,"Динамика, прочность машин, приборов и аппаратуры"                                                                                            ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"01.06.01_59"      ,"Математика и механика"                                                                               ,"Динамика, прочность машин, приборов и аппаратуры"                                                                                            ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"01.06.01_60"      ,"Математика и механика"                                                                               ,"Биомеханика"                                                                                                                                 ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"01.06.01_61"      ,"Математика и механика"                                                                               ,"Аэродинамика и процессы теплообмена летательных аппаратов"                                                                                   ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"01.06.01_62"      ,"Математика и механика"                                                                               ,"Аэродинамика и процессы теплообмена летательных аппаратов"                                                                                   ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"01.06.01_63"      ,"Математика и механика"                                                                               ,"Прочность и тепловые режимы летательных аппаратов"                                                                                           ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"01.06.01_64"      ,"Математика и механика"                                                                               ,"Прочность и тепловые режимы летательных аппаратов"                                                                                           ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"01.06.01_65"      ,"Математика и механика"                                                                               ,"Прочность и тепловые режимы летательных аппаратов"                                                                                           ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"01.06.01_66"      ,"Математика и механика"                                                                               ,"Динамика, баллистика, управление движением летательных аппаратов"                                                                            ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"01.06.01_67"      ,"Математика и механика"                                                                               ,"Дискретная математика и математическая кибернетика"                                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"02.03.01_00"      ,"Математика и компьютерные науки"                                                                     ,                                                                                                                                              ,"Бакалавр"                                                   ,"4г."
"02.03.01_01"      ,"Математика и компьютерные науки"                                                                     ,"Математическое и компьютерное моделирование"                                                                                                 ,"Бакалавр"                                                   ,"4г."
"02.03.01_03"      ,"Математика и компьютерные науки"                                                                     ,"Математическое и компьютерное моделирование в экономике"                                                                                     ,"Бакалавр"                                                   ,"4г."
"02.03.01_22"      ,"Математика и компьютерные науки"                                                                     ,"Математическое и компьютерное моделирование в аэрокосмической технике"                                                                       ,"Бакалавр"                                                   ,"4г."
"02.03.01_70"      ,"Математика и компьютерные науки"                                                                     ,                                                                                                                                              ,"Бакалавр"                                                   ,"4г."
"02.03.01_71"      ,"Математика и компьютерные науки"                                                                     ,"Математическое и компьютерное моделирование"                                                                                                 ,"Бакалавр"                                                   ,"4г."
"02.03.01_72"      ,"Математика и компьютерные науки"                                                                     ,                                                                                                                                              ,"Бакалавр"                                                   ,"4г."
"02.03.01_73"      ,"Математика и компьютерные науки"                                                                     ,"Математическое и компьютерное моделирование в экономике"                                                                                     ,"Бакалавр"                                                   ,"4г."
"02.03.01_79"      ,"Математика и компьютерные науки"                                                                     ,"Математическое и компьютерное моделирование"                                                                                                 ,"Бакалавр"                                                   ,"4г."
"02.03.01_88"      ,"Математика и компьютерные науки"                                                                     ,                                                                                                                                              ,"Бакалавр"                                                   ,"4г."
"02.04.01_01"      ,"Математика и компьютерные науки"                                                                     ,"Математическое и компьютерное моделирование в механике композитов"                                                                           ,"Магистр"                                                    ,"2г."
"02.04.01_02"      ,"Математика и компьютерные науки"                                                                     ,"Математическое и компьютерное моделирование в аэрокосмической технике"                                                                       ,"Магистр"                                                    ,"2г."
"02.04.01_21"      ,"Математика и компьютерные науки"                                                                     ,"Математическое и компьютерное моделирование в механике композитов"                                                                           ,"Магистр"                                                    ,"2г."
"02.04.01_22"      ,"Математика и компьютерные науки"                                                                     ,"Математическое и компьютерное моделирование в аэрокосмической технике"                                                                       ,"Магистр"                                                    ,"2г."
"02.04.01_71"      ,"Математика и компьютерные науки"                                                                     ,"Математическое и компьютерное моделирование в механике композитов"                                                                           ,"Магистр"                                                    ,"2г."
"02.06.01_00"      ,"Компьютерные и информационные науки"                                                                 ,                                                                                                                                              ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_01"      ,"Компьютерные и информационные науки"                                                                 ,"Вычислительная математика"                                                                                                                   ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_02"      ,"Компьютерные и информационные науки"                                                                 ,"Системный анализ, управление и обработка информации"                                                                                         ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_03"      ,"Компьютерные и информационные науки"                                                                 ,"Системный анализ, управление и обработка информации"                                                                                         ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_04"      ,"Компьютерные и информационные науки"                                                                 ,"Системный анализ, управление и обработка информации"                                                                                         ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_05"      ,"Компьютерные и информационные науки"                                                                 ,"Системный анализ, управление и обработка информации"                                                                                         ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_06"      ,"Компьютерные и информационные науки"                                                                 ,"Системный анализ, управление и обработка информации"                                                                                         ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_07"      ,"Компьютерные и информационные науки"                                                                 ,"Системный анализ, управление и обработка информации"                                                                                         ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_08"      ,"Компьютерные и информационные науки"                                                                 ,"Системный анализ, управление и обработка информации"                                                                                         ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
