"Код специализации","Наименование специальности"                                                                          ,"Специализация"                                                                                                                               ,"Квалификация"                                               ,"Срок"
"09.06.01_86"      ,"Информатика и вычислительная техника"                                                                ,"Математическое моделирование, численные методы и комплексы программ"                                                                         ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"09.06.01_87"      ,"Информатика и вычислительная техника"                                                                ,"Математическое моделирование, численные методы и комплексы программ"                                                                         ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"09.06.01_88"      ,"Информатика и вычислительная техника"                                                                ,"Математическое моделирование, численные методы и комплексы программ"                                                                         ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"09.06.01_89"      ,"Информатика и вычислительная техника"                                                                ,"Математическое моделирование, численные методы и комплексы программ"                                                                         ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"09.06.01_90"      ,"Информатика и вычислительная техника"                                                                ,"Математическое моделирование, численные методы и комплексы программ"                                                                         ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"09.06.01_91"      ,"Информатика и вычислительная техника"                                                                ,"Математическое и программное обеспечение вычислительных машин, комплексов и компьютерных сетей"                                              ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"09.06.01_92"      ,"Информатика и вычислительная техника"                                                                ,"Математическое моделирование, численные методы и комплексы программ"                                                                         ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"09.06.01_93"      ,"Информатика и вычислительная техника"                                                                ,"Элементы и устройства вычислительной техники и систем управления"                                                                            ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"09.06.01_94"      ,"Информатика и вычислительная техника"                                                                ,"Теоретические основы информатики"                                                                                                            ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"09.06.01_95"      ,"Информатика и вычислительная техника"                                                                ,"Математическое моделирование, численные методы и комплексы программ"                                                                         ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"09.06.01_96"      ,"Информатика и вычислительная техника"                                                                ,"Системный анализ, управление и обработка информации"                                                                                         ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"09.06.01_97"      ,"Информатика и вычислительная техника"                                                                ,"Системный анализ, управление и обработка информации"                                                                                         ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"09.06.01_98"      ,"Информатика и вычислительная техника"                                                                ,"Элементы и устройства вычислительной техники и систем управления"                                                                            ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"09.06.01_99"      ,"Информатика и вычислительная техника"                                                                ,"Элементы и устройства вычислительной техники и систем управления"                                                                            ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"10.03.01_01"      ,"Информационная безопасность"                                                                         ,"Информационная безопасность информационных систем"                                                                                           ,"Академический бакалавр"                                     ,"4г."
"10.04.01_01"      ,"Информационная безопасность"                                                                         ,"Безопасность автоматизированных систем"                                                                                                      ,"Магистр"                                                    ,"2г."
"10.04.01_02"      ,"Информационная безопасность"                                                                         ,"Безопасность информационных технологий и систем"                                                                                             ,"Магистр"                                                    ,"2г."
"10.04.01_82"      ,"Информационная безопасность"                                                                         ,"Безопасность информационных технологий и систем"                                                                                             ,"Магистр"                                                    ,"2г."
"10.05.01_00"      ,"Компьютерная безопасность"                                                                           ,                                                                                                                                              ,"Специалист по защите информации"                            ,"5г. 10м."
"10.05.01_01"      ,"Компьютерная безопасность"                                                                           ,"Математические методы защиты информации"                                                                                                     ,"Специалист по защите информации"                            ,"5г. 10м."
"10.05.03_00"      ,"Информационная безопасность автоматизированных систем"                                               ,                                                                                                                                              ,"Специалист по защите информации"                            ,"5г. 10м."
"10.05.03_01"      ,"Информационная безопасность автоматизированных систем"                                               ,"Анализ безопасности информационных систем"                                                                                                   ,"Специалист по защите информации"                            ,"5г. 10м."
"10.05.03_02"      ,"Информационная безопасность автоматизированных систем"                                               ,"Защищенные автоматизированные системы управления"                                                                                            ,"Специалист по защите информации"                            ,"5г. 10м."
"10.05.03_03"      ,"Информационная безопасность автоматизированных систем"                                               ,"Создание автоматизированных систем в защищенном исполнении"                                                                                  ,"Специалист по защите информации"                            ,"5г. 10м."
"10.05.03_61"      ,"Информационная безопасность автоматизированных систем"                                               ,"Анализ безопасности информационных систем (адаптационный план)"                                                                              ,"Специалист по защите информации"                            ,"6г. 10м."
"10.05.03_62"      ,"Информационная безопасность автоматизированных систем"                                               ,"Защищенные автоматизированные системы управления (адаптационный план)"                                                                       ,"Специалист по защите информации"                            ,"6г. 10м."
"10.05.03_63"      ,"Информационная безопасность автоматизированных систем"                                               ,"Создание автоматизированных систем в защищенном исполнении (адаптационный план)"                                                             ,"Специалист по защите информации"                            ,"6г. 10м."
"10.05.03_93"      ,"Информационная безопасность автоматизированных систем"                                               ,"Создание автоматизированных систем в защищенном исполнении (специального назначения)"                                                        ,"Специалист по защите информации"                            ,"5г. 10м."
"10.05.03_99"      ,"Информационная безопасность автоматизированных систем"                                               ,"Защищенные автоматизированные системы управления (специального назначения)"                                                                  ,"Специалист по защите информации"                            ,"5г. 10м."
"10.05.07_00"      ,"Противодействие техническим разведкам"                                                               ,                                                                                                                                              ,"Специалист по защите информации"                            ,"5г. 10м."
"10.05.07_01"      ,"Противодействие техническим разведкам"                                                               ,"Техническая защита информации"                                                                                                               ,"Специалист по защите информации"                            ,"5г. 10м."
"10.05.07_02"      ,"Противодействие техническим разведкам"                                                               ,"Противодействие компьютерной разведке"                                                                                                       ,"Специалист по защите информации"                            ,"5г. 10м."
"10.05.07_92"      ,"Противодействие техническим разведкам"                                                               ,"Защита информации (специального назначения)"                                                                                                 ,"Специалист по защите информации"                            ,"5г. 10м."
"10.06.01_00"      ,"Информационная безопасность"                                                                         ,                                                                                                                                              ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"10.06.01_01"      ,"Информационная безопасность"                                                                         ,"Методы и системы защиты информации, информационная безопасность"                                                                             ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"10.06.01_02"      ,"Информационная безопасность"                                                                         ,"Методы и системы защиты информации, информационная безопасность"                                                                             ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"10.06.01_51"      ,"Информационная безопасность"                                                                         ,"Методы и системы защиты информации, информационная безопасность"                                                                             ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"10.06.01_52"      ,"Информационная безопасность"                                                                         ,"Методы и системы защиты информации, информационная безопасностьсть"                                                                          ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"11.02.01_00"      ,"Радиоаппаратостроение"                                                                               ,                                                                                                                                              ,"Радио-техник"                                               ,"3г. 10м."
"11.02.01_10"      ,"Радиоаппаратостроение"                                                                               ,                                                                                                                                              ,"Радио-техник"                                               ,"2г. 10м."
"11.02.08_00"      ,"Средства связи с подвижными объектами"                                                               ,                                                                                                                                              ,"Техник. Специалист по телекоммуникациям"                    ,"3г. 10м."
"11.03.03_00"      ,"Конструирование и технология электронных средств"                                                    ,                                                                                                                                              ,"Бакалавр"                                                   ,"4г."
"11.03.03_01"      ,"Конструирование и технология электронных средств"                                                    ,"Проектирование и технология электронно-вычислительных средств"                                                                               ,"Бакалавр"                                                   ,"4г."
"11.03.03_21"      ,"Конструирование и технология электронных средств"                                                    ,"Проектирование и технология электронно-вычислительных средств"                                                                               ,"Бакалавр"                                                   ,"4г."
"11.03.03_61"      ,"Конструирование и технология электронных средств"                                                    ,"Проектирование и технология электронно-вычислительных средств (адаптационный план №1)"                                                       ,"Бакалавр"                                                   ,"5г."
"11.03.03_70"      ,"Конструирование и технология электронных средств"                                                    ,                                                                                                                                              ,"Бакалавр"                                                   ,"4г."
"11.03.03_71"      ,"Конструирование и технология электронных средств"                                                    ,"Проектирование и технология электронно-вычислительных средств"                                                                               ,"Бакалавр"                                                   ,"4г."
"11.03.03_72"      ,"Конструирование и технология электронных средств"                                                    ,                                                                                                                                              ,"Бакалавр"                                                   ,"4г."
"11.03.03_79"      ,"Конструирование и технология электронных средств"                                                    ,"Проектирование и технология электронно-вычислительных средств"                                                                               ,"Бакалавр"                                                   ,"4г."
"11.03.03_80"      ,"Конструирование и технология электронных средств"                                                    ,"Конструирование и технология радиоэлектронных средств"                                                                                       ,"Бакалавр"                                                   ,"4г."
"11.03.03_81"      ,"Конструирование и технология электронных средств"                                                    ,"Проектирование и технология электронно-вычислительных средств"                                                                               ,"Бакалавр"                                                   ,"4г."
"11.03.03_82"      ,"Конструирование и технология электронных средств"                                                    ,"Проектирование и технология РЭС"                                                                                                             ,"Бакалавр"                                                   ,"4г."
"11.03.03_91"      ,"Конструирование и технология электронных средств"                                                    ,"Проектирование и технология электронно-вычислительных средств (адаптационный план №2)"                                                       ,"Бакалавр"                                                   ,"5г."
"11.03.04_00"      ,"Электроника и наноэлектроника"                                                                       ,                                                                                                                                              ,"Бакалавр"                                                   ,"4г."
"11.03.04_01"      ,"Электроника и наноэлектроника"                                                                       ,"Электронное машиностроение"                                                                                                                  ,"Бакалавр"                                                   ,"4г."
"11.03.04_70"      ,"Электроника и наноэлектроника"                                                                       ,                                                                                                                                              ,"Бакалавр"                                                   ,"4г."
"11.03.04_71"      ,"Электроника и наноэлектроника"                                                                       ,"Электронное машиностроение"                                                                                                                  ,"Бакалавр"                                                   ,"4г."
"11.03.04_79"      ,"Электроника и наноэлектроника"                                                                       ,"Электронное машиностроение"                                                                                                                  ,"Бакалавр"                                                   ,"4г."
"11.04.01_70"      ,"Радиотехника"                                                                                        ,"Радиоэлектронные системы и устройства локации,навигации и управления"                                                                        ,"Магистр"                                                    ,"2г."
"11.04.03_01"      ,"Конструирование и технология электронных средств"                                                    ,"Проектирование и технология электронных средств"                                                                                             ,"Магистр"                                                    ,"2г."
"11.04.03_03"      ,"Конструирование и технология электронных средств"                                                    ,"Информационные радиоэлектронные средства"                                                                                                    ,"Магистр"                                                    ,"2г."
"11.04.03_71"      ,"Конструирование и технология электронных средств"                                                    ,"Проектирование и технология электронных средств"                                                                                             ,"Магистр"                                                    ,"2г."
"11.04.04_01"      ,"Электроника и наноэлектроника"                                                                       ,"Оборудование и технологии электроники и наноэлектроники"                                                                                     ,"Магистр"                                                    ,"2г."
"11.04.04_02"      ,"Электроника и наноэлектроника"                                                                       ,"Проектирование и технология электроники и наноэлектроники"                                                                                   ,"Магистр"                                                    ,"2г."
"11.04.04_09"      ,"Электроника и наноэлектроника"                                                                       ,"Электроника и наноэлектроника"                                                                                                               ,"Магистр"                                                    ,"2г."
"11.04.04_71"      ,"Электроника и наноэлектроника"                                                                       ,"Оборудование и технологии электроники и наноэлектроники"                                                                                     ,"Магистр"                                                    ,"2г."
"11.04.04_72"      ,"Электроника и наноэлектроника"                                                                       ,"Проектирование и технология электроники и наноэлектроники"                                                                                   ,"Магистр"                                                    ,"2г."
"11.04.04_79"      ,"Электроника и наноэлектроника"                                                                       ,"Оборудование и технологии электроники и наноэлектроники"                                                                                     ,"Магистр"                                                    ,"2г."
"11.05.01_00"      ,"Радиоэлектронные системы и комплексы"                                                                ,                                                                                                                                              ,"Инженер"                                                    ,"5г. 10м."
"11.05.01_01"      ,"Радиоэлектронные системы и комплексы"                                                                ,"Радиолокационные системы и комплексы"                                                                                                        ,"Инженер"                                                    ,"5г. 10м."
"11.05.01_02"      ,"Радиоэлектронные системы и комплексы"                                                                ,"Радионавигационные системы и комплексы"                                                                                                      ,"Инженер"                                                    ,"5г. 10м."
"11.05.01_03"      ,"Радиоэлектронные системы и комплексы"                                                                ,"Лазерные информационные системы и комплексы"                                                                                                 ,"Инженер"                                                    ,"5г. 10м."
"11.05.01_04"      ,"Радиоэлектронные системы и комплексы"                                                                ,"Антенные системы и устройства"                                                                                                               ,"Инженер"                                                    ,"5г. 10м."
"11.05.01_05"      ,"Радиоэлектронные системы и комплексы"                                                                ,"Проектирование и технология радиоэлектронных систем и комплексов"                                                                            ,"Инженер"                                                    ,"5г. 10м."
"11.05.01_06"      ,"Радиоэлектронные системы и комплексы"                                                                ,"Системы подвижной радиосвязи"                                                                                                                ,"Инженер"                                                    ,"5г. 10м."
"11.05.01_09"      ,"Радиоэлектронные системы и комплексы"                                                                ,"Бортовые радиоэлектронные системы ракетно-космической техники"                                                                               ,"Инженер"                                                    ,"5г. 10м."
"11.05.01_21"      ,"Радиоэлектронные системы и комплексы"                                                                ,"Радиолокационные системы и комплексы"                                                                                                        ,"Инженер"                                                    ,"5г. 10м."
"11.05.01_24"      ,"Радиоэлектронные системы и комплексы"                                                                ,"Антенные системы и устройства"                                                                                                               ,"Инженер"                                                    ,"5г. 10м."
"11.05.01_61"      ,"Радиоэлектронные системы и комплексы"                                                                ,"Радиолокационные системы и комплексы (адаптационный план)"                                                                                   ,"Инженер"                                                    ,"6г. 10м."
"11.05.01_70"      ,"Радиоэлектронные системы и комплексы"                                                                ,                                                                                                                                              ,"Инженер"                                                    ,"5г. 10м."
"11.05.01_75"      ,"Радиоэлектронные системы и комплексы"                                                                ,"Проектирование и технология радиоэлектронных систем и комплексов"                                                                            ,"Инженер"                                                    ,"5г. 10м."
"11.05.01_86"      ,"Радиоэлектронные системы и комплексы"                                                                ,"Системы подвижной радиосвязи"                                                                                                                ,"Инженер"                                                    ,"5г. 10м."
"11.05.01_91"      ,"Радиоэлектронные системы и комплексы"                                                                ,"Радиолокационные системы и комплексы (специального назначения)"                                                                              ,"Инженер"                                                    ,"5г. 10м."
"11.05.01_95"      ,"Радиоэлектронные системы и комплексы"                                                                ,"Проектирование и технология радиоэлектронных систем и комплексов (специального назначения)"                                                  ,"Инженер"                                                    ,"5г. 10м."
"11.05.01_99"      ,"Радиоэлектронные системы и комплексы"                                                                ,                                                                                                                                              ,"Инженер"                                                    ,"5г. 10м."
"11.06.01_00"      ,"Электроника, радиотехника и системы связи"                                                           ,                                                                                                                                              ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"11.06.01_01"      ,"Электроника, радиотехника и системы связи"                                                           ,"Радиотехника, в том числе системы и устройства телевидения"                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"11.06.01_02"      ,"Электроника, радиотехника и системы связи"                                                           ,"Антенны, СВЧ-устройства и их технологии"                                                                                                     ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"11.06.01_03"      ,"Электроника, радиотехника и системы связи"                                                           ,"Системы, сети и устройства телекоммуникаций"                                                                                                 ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"11.06.01_04"      ,"Электроника, радиотехника и системы связи"                                                           ,"Радиолокация и радионавигация"                                                                                                               ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"11.06.01_05"      ,"Электроника, радиотехника и системы связи"                                                           ,"Радиолокация и радионавигация"                                                                                                               ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"11.06.01_06"      ,"Электроника, радиотехника и системы связи"                                                           ,"Технология и оборудование для производства полупроводников, материалов и приборов электронной техники"                                       ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"11.06.01_07"      ,"Электроника, радиотехника и системы связи"                                                           ,"Нанотехнологии и наноматериалы"                                                                                                              ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"11.06.01_08"      ,"Электроника, радиотехника и системы связи"                                                           ,"Твердотельная электроника, радиоэлектронные компоненты, микро- и наноэлектроника, приборы на квантовых эффектах"                             ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"11.06.01_51"      ,"Электроника, радиотехника и системы связи"                                                           ,"Радиотехника, в том числе системы и устройства телевидения"                                                                                  ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"11.06.01_52"      ,"Электроника, радиотехника и системы связи"                                                           ,"Антенны, СВЧ-устройства и их технологии"                                                                                                     ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"11.06.01_53"      ,"Электроника, радиотехника и системы связи"                                                           ,"Системы, сети и устройства телекоммуникаций"                                                                                                 ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"11.06.01_54"      ,"Электроника, радиотехника и системы связи"                                                           ,"Радиолокация и радионавигация"                                                                                                               ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"11.06.01_55"      ,"Электроника, радиотехника и системы связи"                                                           ,"Радиолокация и радионавигация"                                                                                                               ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"11.06.01_56"      ,"Электроника, радиотехника и системы связи"                                                           ,"Технология и оборудование для производства полупроводников, материалов и приборов электронной техники"                                       ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"11.06.01_57"      ,"Электроника, радиотехника и системы связи"                                                           ,"Нанотехнологии и наноматериалы"                                                                                                              ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"11.06.01_58"      ,"Электроника, радиотехника и системы связи"                                                           ,"Твердотельная электроника, радиоэлектронные компоненты, микро- и наноэлектроника, приборы на квантовых эффектах"                             ,"Исследователь. Преподаватель-исследователь"                 ,"5г."
"12.03.01_31"      ,"Приборостроение"                                                                                     ,"Информационно-измерительная техника и технологии"                                                                                            ,"Бакалавр"                                                   ,"4г."
"12.03.02_00"      ,"Оптотехника"                                                                                         ,                                                                                                                                              ,"Бакалавр"                                                   ,"4г."
