"group","specCode"
ИБМ6-43Б,38.03.05_01
ИБМ6-44Б,38.03.05_01
ИБМ6-41М,27.04.06_06
ИБМ6-42М,01.04.04_06
ИБМ6-41А,38.06.01_70
ИБМ6-61Б,27.03.05_06
ИБМ6-62Б,27.03.05_06
ИБМ6-65Б,38.03.05_01
ИБМ6-66Б,38.03.05_01
ИБМ6-61А,38.06.01_78
ИБМ6-81Б,27.03.05_06
ИБМ6-82Б,27.03.05_06
ИБМ6-83Б,38.03.02_06
ИБМ6-84Б,38.03.02_06
ИБМ6-85Б,38.03.05_01
ИБМ6-86Б,38.03.05_01
ИБМ6-82А,38.06.01_70
ИБМ7-21Б,27.03.05_07
ИБМ7-22Б,27.03.05_07
ИБМ7-23Б,38.03.02_07
ИБМ7-21М,27.04.06_07
ИБМ7-22М,38.04.02_07
ИБМ7-23М,01.04.04_07
ИБМ7-41Б,27.03.05_07
ИБМ7-42Б,27.03.05_07
ИБМ7-43Б,38.03.02_07
ИБМ7-45Б,38.03.01_07
ИБМ7-46Б,27.03.05_07
ИБМ7-41М,27.04.06_07
ИБМ7-42М,38.04.02_07
ИБМ7-43М,01.04.04_07
ИБМ7-42А,38.06.01_71
ИБМ7-61Б,27.03.05_07
ИБМ7-62Б,27.03.05_07
ИБМ7-63Б,38.03.02_07
ИБМ7-64Б,38.03.02_07
ИБМ7-65Б,38.03.01_07
ИБМ7-66Б,27.03.05_07
ИБМ7-61А,27.06.01_07
ИБМ7-62А,38.06.01_71
ИБМ7-81Б,27.03.05_07
ИБМ7-82Б,27.03.05_07
ИБМ7-83Б,38.03.02_07
ИБМ7-84Б,38.03.02_07
ИБМ7-85Б,38.03.02_07
ИБМ7-82А,27.06.01_57
ИУ1-21Б,27.03.04_01
ИУ1-21,24.05.06_01
ИУ1-22,24.05.06_01
ИУ1-29,24.05.06_93
ИУ1-21М,27.04.04_04
ИУ1-21А,09.06.01_01
ИУ1-41Б,27.03.04_01
ИУ1-41,24.05.06_01
ИУ1-42,24.05.06_01
ИУ1-41М,27.04.04_04
ИУ1-41А,27.06.01_11
ИУ1-42А,09.06.01_01
ИУ1-43А,09.06.01_01
ИУ1-63Б,27.03.04_01
ИУ1-61,24.05.06_01
ИУ1-62,24.05.06_02
ИУ1-69,24.05.06_93
ИУ1-61А,09.06.01_01
ИУ1-62А,09.06.01_01
ИУ1-63А,27.06.01_11
ИУ1-64А,09.06.01_01
ИУ1-81,24.05.06_01
ИУ1-82,24.05.06_02
ИУ1-89,24.05.06_93
ИУ1-81А,09.06.01_01
ИУ1-101,24.05.06_01
ИУ1-102,24.05.06_02
ИУ1-103,24.05.06_03
ИУ1-109,24.05.06_93
ИУ1-102А,09.06.01_51
ИУ1-121,24.05.06_01
ИУ1-122,24.05.06_02
ИУ1-123,24.05.06_03
ИУ1-129,24.05.06_92
ИУ2-21,24.05.06_04
ИУ2-22,24.05.06_04
ИУ2-23,24.05.06_04
ИУ2-21М,24.04.02_01
ИУ2-21А,12.06.01_01
ИУ2-22А,12.06.01_51
ИУ2-41,24.05.06_04
ИУ2-42,24.05.06_04
ИУ2-43,24.05.06_04
ИУ2-41М,24.04.02_01
ИУ2-41А,12.06.01_01
ИУ2-42А,12.06.01_51
ИУ2-61,24.05.06_04
ИУ2-62,24.05.06_05
ИУ2-63,24.05.06_06
ИУ2-69,24.05.06_95
ИУ2-61А,12.06.01_01
ИУ2-81,24.05.06_04
ИУ2-82,24.05.06_05
ИУ2-83,24.05.06_06
ИУ2-89,24.05.06_95
ИУ2-81А,12.06.01_01
ИУ2-83А,12.06.01_01
ИУ2-101,24.05.06_04
ИУ2-102,24.05.06_05
ИУ2-103,24.05.06_06
ИУ2-109,24.05.06_95
ИУ2-121,24.05.06_04
ИУ2-122,24.05.06_05
ИУ2-123,24.05.06_06
ИУ2-129,24.05.06_94
ИУ3-21Б,09.03.02_01
ИУ3-22Б,09.03.02_01
ИУ3-23Б,09.03.02_01
ИУ3-21М,09.04.02_01
ИУ3-22М,09.04.02_01
ИУ3-21А,09.06.01_31
ИУ3-23А,09.06.01_81
ИУ3-24А,09.06.01_71
ИУ3-41Б,09.03.02_01
ИУ3-42Б,09.03.02_01
ИУ3-43Б,09.03.02_01
ИУ3-44Б,09.03.02_01
ИУ3-41М,09.04.02_01
ИУ3-42М,09.04.02_01
ИУ3-41А,09.06.01_31
ИУ3-42А,09.06.01_52
ИУ3-61Б,09.03.02_01
ИУ3-62Б,09.03.02_01
ИУ3-63Б,09.03.02_01
ИУ3-61А,09.06.01_31
ИУ3-62А,09.06.01_81
ИУ3-81Б,09.03.02_01
ИУ3-82Б,09.03.02_01
ИУ3-83Б,09.03.02_01
ИУ3-81А,09.06.01_31
ИУ3-82А,02.06.01_68
ИУ3-102А,09.06.01_81
ИУ4-21Б,11.03.03_01
ИУ4-22Б,11.03.03_01
ИУ4-23Б,11.03.03_01
ИУ4-21М,11.04.03_01
ИУ4-22М,11.04.03_01
ИУ4-21А,09.06.01_11
ИУ4-23А,09.06.01_26
ИУ4-24А,11.06.01_08
ИУ4-41Б,11.03.03_01
ИУ4-42Б,11.03.03_01
ИУ4-43Б,11.03.03_01
ИУ4-41М,11.04.03_01
ИУ4-42М,11.04.03_01
ИУ4-41А,09.06.01_11
ИУ4-42А,09.06.01_03
ИУ4-61Б,11.03.03_01
ИУ4-62Б,11.03.03_01
ИУ4-63Б,11.03.03_01
ИУ4-61А,09.06.01_03
ИУ4-62А,09.06.01_11
ИУ4-81Б,11.03.03_01
ИУ4-82Б,11.03.03_01
ИУ4-83Б,11.03.03_01
ИУ4-81А,09.06.01_03
ИУ4-82А,09.06.01_11
ИУ5-21Б,09.03.01_02
ИУ5-22Б,09.03.01_02
ИУ5-23Б,09.03.01_02
ИУ5-24Б,09.03.01_02
ИУ5-25Б,09.03.01_02
ИУ5-21М,09.04.01_03
ИУ5-22М,09.04.01_03
ИУ5-23М,09.04.01_03
ИУ5-24М,09.04.01_03
ИУ5-21А,09.06.01_32
ИУ5-22А,09.06.01_19
ИУ5-24А,09.06.01_91
ИУ5-25А,09.06.01_69
ИУ5-26А,09.06.01_45
ИУ5-41Б,09.03.01_02
ИУ5-42Б,09.03.01_02
ИУ5-43Б,09.03.01_02
ИУ5-44Б,09.03.01_02
ИУ5-41М,09.04.01_03
ИУ5-42М,09.04.01_03
ИУ5-43М,09.04.01_03
ИУ5-44М,09.04.01_03
ИУ5-41А,09.06.01_32
ИУ5-42А,09.06.01_19
ИУ5-43А,09.06.01_82
ИУ5-45А,27.06.01_79
ИУ5-61Б,09.03.01_02
ИУ5-62Б,09.03.01_02
ИУ5-63Б,09.03.01_02
ИУ5-64Б,09.03.01_02
ИУ5-65Б,09.03.01_82
ИУ5-61А,09.06.01_19
ИУ5-62А,09.06.01_28
ИУ5-63А,09.06.01_32
ИУ5-81Б,09.03.01_02
