"Наименование циклов, разделов, дисциплин"                 ,Кафедра,"Ауд., час","Лек., час","Сем., час","Лаб., час",Номер семестра,Форма аттестации
Основы информатики                                         ,ИУ9    ,68         ,34         ,0          ,34         ,1             ,Экз
Иностранный язык                                           ,Л2     ,204        ,0          ,204        ,0          ,1 - 6         ,РЭкз
Математический анализ                                      ,ФН12   ,408        ,204        ,204        ,0          ,1 - 3         ,Экз
Физическая культура и спорт                                ,ФВ     ,0          ,0          ,68         ,0          ,1             ,
Линейная алгебра и аналитическая геометрия                 ,ФН12   ,272        ,136        ,136        ,0          ,"1, 2"        ,Экз
Дискретная математика                                      ,ИУ9    ,51         ,0          ,51         ,0          ,2             ,ДЗчт
Языки и методы программирования                            ,ИУ9    ,68         ,34         ,0          ,34         ,2             ,Экз
История                                                    ,СГН1   ,51         ,17         ,34         ,0          ,2             ,Зчт
Правоведение                                               ,ЮР     ,51         ,34         ,17         ,0          ,3             ,Зчт
Обыкновенные дифференциальные уравнения                    ,ИУ9    ,136        ,68         ,68         ,0          ,"3, 4"        ,Экз
Комплексный анализ                                         ,ФН12   ,68         ,34         ,34         ,0          ,4             ,Экз
Операционные системы                                       ,ИУ9    ,68         ,34         ,0          ,34         ,4             ,Зчт
Функциональный анализ                                      ,ИУ9    ,68         ,34         ,34         ,0          ,5             ,ДЗчт
Базы данных                                                ,ИУ9    ,102        ,34         ,0          ,68         ,"5, 6"        ,КуР
Философия                                                  ,СГН4   ,51         ,17         ,34         ,0          ,6             ,Зчт
Численные методы                                           ,ИУ9    ,68         ,34         ,0          ,34         ,6             ,Зчт
Теория вероятностей и математическая статистика            ,ФН12   ,68         ,34         ,34         ,0          ,7             ,РЭкз
Физика                                                     ,ИУ9    ,68         ,34         ,34         ,0          ,7             ,Экз
Экономика часть 1                                          ,ИБМ3   ,51         ,34         ,17         ,0          ,7             ,Зчт
Безопасность жизнедеятельности                             ,Э9     ,68         ,34         ,17         ,17         ,7             ,Зчт
Экономика часть 2                                          ,ИБМ6   ,24         ,24         ,0          ,0          ,8             ,Зчт
